"Day","Sales","Trading Profit","Operating Expense","Net Profit"
11,16056239,11560658,1731892,9828766
12,19295902,14474565,1796588,12677977
13,21945542,15425711,2508546,12917165
14,24654261,17224314,2681954,14542360
15,27321130,18913714,3049568,15864146
16,30856939,22107782,3127686,18980096
17,35525514,25571340,3607952,21963388
18,38623321,28326984,3690184,24636800
19,42228914,30684840,4075727,26609113
20,45159956,32201954,4641411,27560543
21,50481638,35023634,5420199,29603435
22,54273153,37198065,6129257,31068808
23,60884628,43452519,6218873,37233646
24,64063652,44702785,7707708,36995077
25,70746174,50970019,7827219,43142800
26,75124263,54448838,8043756,46405082
27,79533460,58055255,8223427,49831828
28,83554403,59988948,8601504,51387444
29,87567992,63610915,8685860,54925055
30,93000294,68595828,8753896,59841932
31,96375224,71596057,8824154,62771903
32,99791187,73778154,9236615,64541539
33,110260905,82959226,9456692,73502534
34,123910925,95287023,9541895,85745128
35,135125580,104917997,9776927,95141070
36,138762996,108002946,9960418,98042528
37,142383561,111241144,10051995,101189149
38,146438806,114927061,10191448,104735613
39,149988705,118132178,10295853,107836325
40,153242503,120010396,10585305,109425091
41,156691405,123096530,10657786,112438744
42,161709231,127696117,10804316,116891801
43,165254181,130848479,10879813,119968666
44,178153230,141686745,11391575,130295170
45,187694626,149800158,11702092,138098066
46,190909360,152659209,12501720,140157489
47,195161209,154715073,12581501,142133572
48,198610744,157794280,12686768,145107512
49,202949926,161751266,12775463,148975803
50,209450508,167825549,12877803,154947746
51,213159891,171121175,12952996,158168179
52,224349165,180678235,13278573,167399662
53,234181041,188808189,14001582,174806607
54,244192127,197273219,14304319,182968900
55,248513671,200269945,14898511,185371434
56,252534520,203919734,14979221,188940513
57,256750087,206306171,15909202,190396969
58,260695924,209125867,16351853,192774014
59,265122591,213198178,16482752,196715426
60,268553152,216275771,16598761,199677010
61,273874509,221245578,16747579,204497999
62,278144915,223736671,17298900,206437771
63,281463852,226723460,17369102,209354358
64,285615685,229660935,17870532,211790403
65,300427536,242777691,18108238,224669453
66,304271031,245301249,18455209,226846040
67,309208789,249860073,18541948,231318125
68,313988712,254273510,18648698,235624812
69,317554253,257471799,18717808,238753991
70,330111442,268607304,18785369,249821935
71,343205851,279545369,19020045,260525324
72,350612556,286111066,19160452,266950614
73,354818671,289938591,19227927,270710664
74,358318022,293033387,19318547,273714840
75,361848907,296184586,19389613,276794973
76,365293407,298269350,19939713,278329637
77,368699044,300491927,20389351,280102576
78,372096792,302748361,20626247,282122114
79,375492821,305726805,20817689,284909116
80,381437519,310594583,21437982,289156601
81,385877236,314690540,21539353,293151187
82,389448135,317142012,21980449,295161563
83,393124222,320448474,22066893,298381581
84,405032472,331250747,22141854,309108893
85,414909416,338849975,22885664,315964311
86,419678021,343262183,22969400,320292783
87,423632311,346840144,23041301,323798843
88,429082902,351441701,23372508,328069193
89,432875522,354852928,23444510,331408418
90,436742166,358339152,23514434,334824718
